id;address;lat;long;mon_fri;sat;sun
8436;235 E 75TH ST CHICAGO, IL 60619;41.7582572710444;-87.6189353636049;5:00 pm;12:00 pm;Closed
8437;5501 S UNIVERSITY AVE CHICAGO, IL 60637;41.7944399;-87.599234;12:00 pm;10:00 am;Closed
8438;420 W 63RD ST CHICAGO, IL 60621;41.7801674;-87.6357038059926;12:00 pm;10:00 am;Closed
8439;55 E GARFIELD BLVD CHICAGO, IL 60637;41.79399195;-87.6235635265403;12:00 pm;12:00 pm;Closed
8440;5501 S WOODLAWN AVE CHICAGO, IL 60637;41.79485765;-87.5963115324518;12:00 pm;12:00 pm;Closed
8441;5855 S PRINCETON AVE CHICAGO, IL 60621;41.78748905;-87.6325168516696;12:00 pm;10:00 am;Closed
8442;101 E 75TH ST CHICAGO, IL 60619;41.758212;-87.621369;10:00 am;10:00 am;Closed
8443;1301 E 55TH ST SE CHICAGO, IL 60637;41.79490895;-87.5947393861567;12:00 pm;12:00 pm;Closed
8444;1366 E 56TH ST CHICAGO, IL 60637;41.7932361316717;-87.5922689111301;12:00 pm;12:00 pm;Closed
8445;1500 E 57TH ST CHICAGO, IL 60637;41.791627;-87.588245;12:00 pm;12:00 pm;Closed
8446;5428 S GREENWOOD AVE CHICAGO, IL 60615;41.7970614469073;-87.5997987835089;12:00 pm;12:00 pm;Closed
8447;6701 S NORMAL BLVD CHICAGO, IL 60621;41.7724401;-87.6371348986115;12:00 pm;10:00 am;Closed
8448;6253 S NORMAL BLVD CHICAGO, IL 60621;41.78015555;-87.63724015;12:00 pm;10:00 am;Closed
8449;5458 S STATE ST CHICAGO, IL 60609;41.7953123391062;-87.6258282036132;12:00 pm;10:00 am;Closed
8450;1300 E 75TH ST CHICAGO, IL 60619;41.75890055;-87.5930517;10:00 am;12:00 pm;Closed
8451;1354 E 55TH ST CHICAGO, IL 60615;41.7952736;-87.5928092;12:00 pm;12:00 pm;Closed
8452;6858 S NORMAL BLVD CHICAGO, IL 60621;41.7693602;-87.6373652;12:00 pm;10:00 am;Closed
8453;7715 S COTTAGE GROVE AVE CHICAGO, IL 60619;41.7543688;-87.6049014121402;5:15 pm;2:00 pm;Closed
8454;7715 S COTTAGE GROVE AVE CHICAGO, IL 60619;41.7543688;-87.6049014121402;5:00 pm;2:00 pm;Closed
8455;7715 S COTTAGE GROVE AVE CHICAGO, IL 60619;41.7543688;-87.6049014121402;5:00 pm;1:45 pm;Closed
8456;5600 S LAKE PARK AVE CHICAGO, IL 60637;41.8275513;-87.6054896;12:00 pm;12:00 pm;Closed
8457;7455 S PERRY AVE CHICAGO, IL 60621;41.7583861;-87.6277454;12:00 pm;10:00 am;Closed
8458;7400 S VINCENNES AVE CHICAGO, IL 60621;41.759869;-87.630673;12:00 pm;10:00 am;Closed
8459;1735 E 71ST ST CHICAGO, IL 60649;41.7662853;-87.5628203;12:00 pm;12:00 pm;Closed
8460;5300 S GREENWOOD AVE CHICAGO, IL 60615;41.799298;-87.599847;12:00 pm;12:00 pm;Closed
8461;7748 S COTTAGE GROVE AVE CHICAGO, IL 60619;41.75329915;-87.6056010409247;5:00 pm;4:35 pm;Closed
8462;611 W 63RD ST CHICAGO, IL 60621;41.7794935;-87.6404278;5:00 pm;4:05 pm;Closed
8463;611 W 63RD ST CHICAGO, IL 60621;41.7794935;-87.6404278;5:00 pm;4:05 pm;Closed
8464;611 W 63RD ST CHICAGO, IL 60621;41.7794935;-87.6404278;4:45 pm;12:45 pm;Closed
8465;758 E 78TH ST CHICAGO, IL 60619;41.753173476937;-87.6062001679221;5:00 pm;12:00 pm;Closed
8466;7758 S EBERHART AVE CHICAGO, IL 60619;41.7535329705487;-87.6126704282498;10:00 am;10:00 am;Closed
8467;7400 S STONY ISLAND AVE CHICAGO, IL 60649;41.76039475;-87.58657365;12:00 pm;12:00 pm;Closed
8468;5300 S WOODLAWN AVE CHICAGO, IL 60615;41.799333;-87.596749;12:00 pm;12:00 pm;Closed
8469;5700 S LAKE SHORE DR CHICAGO, IL 60637;41.79076255;-87.5829304609553;12:00 pm;12:00 pm;Closed
8470;1510 E 55TH ST CHICAGO, IL 60615;41.795632;-87.5886734;5:45 pm;2:45 pm;Closed
8471;1546 E 55TH ST CHICAGO, IL 60615;41.7953402757299;-87.5889786093819;5:00 pm;3:00 pm;Closed
8472;5401 S WENTWORTH AVE CHICAGO, IL 60609;41.7955982;-87.6302911;12:00 pm;12:00 pm;Closed
8473;1236 E 53RD ST CHICAGO, IL 60615;41.8000422;-87.59524;12:00 pm;12:00 pm;Closed
8474;365 E 51ST ST SW CHICAGO, IL 60653;41.8021711379828;-87.6171718233924;12:00 pm;12:00 pm;Closed
8475;1851 E 71ST ST CHICAGO, IL 60649;41.7662656911765;-87.5797346029412;12:00 pm;12:00 pm;Closed
8476;7501 S STONY ISLAND AVE CHICAGO, IL 60649;41.7586022775108;-87.5862423668536;12:00 pm;12:00 pm;Closed
8477;5500 S CORNELL AVE CHICAGO, IL 60637;41.7951141;-87.5855651;12:00 pm;12:00 pm;Closed
8478;5057 S DREXEL BLVD CHICAGO, IL 60615;41.8025697;-87.6034001136432;12:00 pm;12:00 pm;Closed
8479;7900 S COTTAGE GROVE AVE CHICAGO, IL 60619;41.751165;-87.60533;10:00 am;12:00 pm;Closed
8480;7850 S KING DR CHICAGO, IL 60619;41.7136338;-87.6139518;5:00 pm;12:00 pm;Closed
8481;6757 S JEFFERY BLVD CHICAGO, IL 60649;41.7718076;-87.5761355166342;12:00 pm;12:00 pm;Closed
8482;932 E HYDE PARK BLVD CHICAGO, IL 60615;41.80263155;-87.6023696909157;12:00 pm;12:00 pm;Closed
8483;7859 S CALUMET AVE CHICAGO, IL 60619;41.7518582770528;-87.616445584281;5:00 pm;12:00 pm;Closed
8484;334 W 75TH ST CHICAGO, IL 60621;41.7581763842791;-87.6334432489286;12:00 pm;10:00 am;Closed
8485;1380 E 53RD ST CHICAGO, IL 60615;41.7995894285714;-87.5921471428571;12:00 pm;12:00 pm;Closed
8486;5059 S INDIANA AVE CHICAGO, IL 60653;41.8027944597931;-87.6209359262037;12:00 pm;12:00 pm;Closed
8487;1660 E 55TH ST CHICAGO, IL 60615;41.7953364;-87.5841852;12:00 pm;12:00 pm;Closed
8488;5101 S UNIVERSITY AVE CHICAGO, IL 60615;41.8021724;-87.5978884683117;12:00 pm;12:00 pm;Closed
8489;7531 S STONY ISLAND AVE CHICAGO, IL 60649;41.75678605;-87.5842280181917;12:00 pm;12:00 pm;Closed
8490;1459 E 53RD ST CHICAGO, IL 60615;41.799425;-87.5895057;12:00 pm;12:00 pm;Closed
8491;1440 E 53RD ST CHICAGO, IL 60615;41.7999001;-87.5901211149596;12:00 pm;12:00 pm;Closed
8492;7936 S COTTAGE GROVE AVE CHICAGO, IL 60619;41.7497561;-87.6055978110037;5:00 pm;10:00 am;Closed
8493;7058 S JEFFERY BLVD CHICAGO, IL 60649;41.7669564262802;-87.5764306112896;12:00 pm;12:00 pm;Closed
8494;1531 E 53RD ST CHICAGO, IL 60615;41.799472;-87.587906;5:00 pm;12:00 pm;Closed
8495;1740 E 55TH ST CHICAGO, IL 60615;41.79545325;-87.5821142623706;12:00 pm;12:00 pm;Closed
8496;1755 E 55TH ST CHICAGO, IL 60615;41.79492685;-87.5814786692726;12:00 pm;12:00 pm;Closed
8497;5050 S STATE ST CHICAGO, IL 60609;41.8028629514557;-87.6260225995016;12:00 pm;10:00 am;Closed
8498;7901 S AVALON AVE CHICAGO, IL 60619;41.75116425;-87.5939858220003;12:00 pm;10:00 am;Closed
8499;1390 E HYDE PARK BLVD CHICAGO, IL 60615;41.8024695;-87.5891503;12:00 pm;12:00 pm;Closed
8500;7900 S LAFAYETTE AVE CHICAGO, IL 60620;41.750799;-87.625927;12:00 pm;12:00 pm;Closed
8501;5400 EAST VIEW PARK SW CHICAGO, IL 60615;41.797989;-87.583036819767;12:00 pm;12:00 pm;Closed
8502;1620 E 53RD ST CHICAGO, IL 60615;41.7995018667013;-87.5860533183583;12:00 pm;12:00 pm;Closed
8503;4858 S COTTAGE GROVE AVE CHICAGO, IL 60615;41.80611245;-87.6067845897299;12:00 pm;12:00 pm;Closed
8504;6501 S PROMONTORY DR CHICAGO, IL 60649;41.77746435;-87.571630161045;12:00 pm;12:00 pm;Closed
8505;4901 S DREXEL BLVD CHICAGO, IL 60615;41.80563445;-87.603557279021;12:00 pm;12:00 pm;Closed
8506;1977 E 73RD ST CHICAGO, IL 60649;41.7624269983487;-87.576672267219;12:00 pm;12:00 pm;Closed
8507;4951 S WOODLAWN AVE CHICAGO, IL 60615;41.8050769273282;-87.5966417435424;12:00 pm;12:00 pm;Closed
8508;8100 S COTTAGE GROVE AVE CHICAGO, IL 60619;41.7473109;-87.6055022265294;10:00 am;12:00 pm;Closed
8509;8053 S KING DR CHICAGO, IL 60619;41.7136338;-87.6139518;10:00 am;12:00 pm;Closed
8510;5303 S HYDE PARK BLVD CHICAGO, IL 60615;41.7994699826198;-87.5839412684977;12:00 pm;12:00 pm;Closed
8511;4858 S KING DR CHICAGO, IL 60653;41.7136338;-87.6139518;12:00 pm;12:00 pm;Closed
8512;6701 S CRANDON AVE CHICAGO, IL 60649;41.773401;-87.569869;12:00 pm;12:00 pm;Closed
8513;5100 S CORNELL AVE CHICAGO, IL 60615;41.80214615;-87.5867497870044;12:00 pm;12:00 pm;Closed
8514;5059 S PRINCETON AVE CHICAGO, IL 60609;41.8028274760285;-87.6330983266309;12:00 pm;10:00 am;Closed
8515;1001 W 63RD ST CHICAGO, IL 60621;41.779591;-87.649807;12:00 pm;12:00 pm;Closed
8516;2148 E 71ST ST CHICAGO, IL 60649;41.7662853;-87.5628203;12:00 pm;12:00 pm;Closed
8517;6900 S CRANDON AVE CHICAGO, IL 60649;41.7696517;-87.5703589029922;12:00 pm;12:00 pm;Closed
8518;2011 E 75TH ST CHICAGO, IL 60649;41.75855185;-87.575766333068;12:00 pm;12:00 pm;Closed
8519;5501 S HALSTED ST CHICAGO, IL 60621;41.7770759;-87.6446603;12:00 pm;12:00 pm;Closed
8520;7900 S VINCENNES AVE CHICAGO, IL 60620;41.7504654;-87.6347637065658;12:00 pm;12:00 pm;Closed
8521;4900 S BLACKSTONE AVE CHICAGO, IL 60615;41.805944;-87.590683;12:00 pm;12:00 pm;Closed
8522;958 W 59TH ST CHICAGO, IL 60621;41.7871385;-87.6496258052938;12:00 pm;10:00 am;Closed
8523;4658 S DREXEL BLVD NW CHICAGO, IL 60615;41.8099770019183;-87.6037950608159;12:00 pm;12:00 pm;Closed
8524;8201 S MICHIGAN AVE CHICAGO, IL 60619;41.7452405;-87.620509865937;12:00 pm;10:00 am;Closed
8525;4658 S LANGLEY AVE CHICAGO, IL 60653;41.8105789062308;-87.6091190292574;12:00 pm;12:00 pm;Closed
8526;8258 S COTTAGE GROVE AVE CHICAGO, IL 60619;41.74423235;-87.6053422154543;5:00 pm;10:00 am;Closed
8527;4700 S ELLIS AVE CHICAGO, IL 60615;41.80947;-87.601808;12:00 pm;12:00 pm;Closed
8528;8300 S SAINT LAWRENCE AVE CHICAGO, IL 60619;41.743765;-87.609982;12:00 pm;10:00 am;Closed
8529;4651 S SAINT LAWRENCE AVE CHICAGO, IL 60653;41.8102100629492;-87.6113636918258;12:00 pm;12:00 pm;Closed
8530;4659 S KING DR CHICAGO, IL 60653;41.7136338;-87.6139518;12:00 pm;12:00 pm;Closed
8531;7600 S HALSTED ST CHICAGO, IL 60620;41.75576475;-87.6446583589657;12:00 pm;12:00 pm;Closed
8532;8201 S KENWOOD AVE CHICAGO, IL 60619;41.7458225;-87.5914403264507;12:00 pm;10:00 am;Closed
8533;4601 S COTTAGE GROVE AVE CHICAGO, IL 60653;41.81104365;-87.6061663728603;5:00 pm;4:45 pm;Closed
8534;4601 S COTTAGE GROVE AVE CHICAGO, IL 60653;41.81104365;-87.6061663728603;6:00 pm;2:30 pm;Closed
8535;4601 S COTTAGE GROVE AVE CHICAGO, IL 60653;41.81104365;-87.6061663728603;5:00 pm;4:45 pm;Closed
8536;8100 S PRINCETON AVE CHICAGO, IL 60620;41.747047;-87.6320581;12:00 pm;12:00 pm;Closed
8537;4800 S CHICAGO BEACH DR CHICAGO, IL 60615;41.80660165;-87.5867982534085;12:00 pm;12:00 pm;Closed
8538;8258 S WOODLAWN AVE CHICAGO, IL 60619;41.7442312;-87.5956658748021;12:00 pm;10:00 am;Closed
8539;4701 S STATE ST CHICAGO, IL 60653;41.809114;-87.625971;12:00 pm;12:00 pm;Closed
8540;6258 S RACINE AVE CHICAGO, IL 60636;41.7806421064443;-87.6546384972021;10:00 am;10:00 am;Closed
